customer_id,country,industry,subscription_type,customer_segment,behavioral_segment,profitability_tier,churn_risk_level,customer_value_tier,signup_cohort
CUST_000001,UK,Finance,Premium,Loyal Customers,VIP Elite,High Profit,Low,Platinum,2021-01
CUST_000002,Canada,Education,Professional,Loyal Customers,VIP Elite,High Profit,Low,Platinum,2021-01
CUST_000003,USA,Real Estate,Basic,Promising,VIP Elite,High Profit,Low,Gold,2021-01
CUST_000004,USA,Finance,Enterprise,Loyal Customers,VIP Elite,High Profit,Low,Platinum,2021-01
CUST_000005,France,Manufacturing,Professional,Hibernating,Growth Potential,Loss-Making,High,Silver,2021-01
CUST_000006,USA,Healthcare,Premium,At Risk,VIP Elite,High Profit,Low,Platinum,2021-01
CUST_000007,Japan,Energy,Basic,Loyal Customers,VIP Elite,High Profit,Low,Platinum,2021-01
CUST_000008,USA,Energy,Basic,At Risk,VIP Elite,High Profit,Low,Gold,2021-01
CUST_000009,UK,Education,Professional,Loyal Customers,VIP Elite,High Profit,Low,Platinum,2021-01
CUST_000010,UK,Consulting,Basic,Promising,VIP Elite,High Profit,Low,Gold,2021-01
CUST_000011,France,Media,Basic,Potential Loyalists,VIP Elite,High Profit,Low,Gold,2021-01
CUST_000012,USA,Finance,Basic,Hibernating,Growth Potential,Medium Profit,High,Silver,2021-01
CUST_000013,Germany,Consulting,Enterprise,Champions,VIP Elite,High Profit,Low,Platinum,2021-01
CUST_000014,USA,Finance,Professional,Champions,VIP Elite,High Profit,Low,Platinum,2021-01
CUST_000015,France,Technology,Basic,At Risk,VIP Elite,High Profit,Low,Gold,2021-01
CUST_000016,France,Retail,Basic,At Risk,Growth Potential,High Profit,High,Silver,2021-01
CUST_000017,USA,Consulting,Premium,At Risk,Growth Potential,High Profit,High,Platinum,2021-01
CUST_000018,India,Real Estate,Enterprise,At Risk,VIP Elite,High Profit,Low,Platinum,2021-01
CUST_000019,UK,Retail,Basic,At Risk,VIP Elite,High Profit,Low,Gold,2021-01
CUST_000020,Canada,Real Estate,Professional,Loyal Customers,VIP Elite,High Profit,Low,Platinum,2021-02
CUST_000021,USA,Retail,Professional,At Risk,Growth Potential,High Profit,High,Platinum,2021-02
CUST_000022,USA,Consulting,Enterprise,At Risk,Growth Potential,High Profit,High,Platinum,2021-02
CUST_000023,USA,Real Estate,Professional,Loyal Customers,VIP Elite,High Profit,Low,Platinum,2021-02
CUST_000024,UK,Media,Professional,Champions,VIP Elite,High Profit,Low,Platinum,2021-02
CUST_000025,Germany,Media,Basic,Champions,VIP Elite,High Profit,Low,Platinum,2021-02
CUST_000026,India,Retail,Enterprise,At Risk,Growth Potential,Medium Profit,High,Platinum,2021-02
CUST_000027,India,Finance,Enterprise,Champions,VIP Elite,High Profit,Low,Platinum,2021-02
CUST_000028,France,Technology,Enterprise,Hibernating,Growth Potential,Low Profit,High,Platinum,2021-02
CUST_000029,USA,Education,Basic,Champions,VIP Elite,High Profit,Low,Gold,2021-02
CUST_000030,USA,Healthcare,Basic,Champions,VIP Elite,High Profit,Low,Gold,2021-02
CUST_000031,UK,Energy,Basic,At Risk,VIP Elite,High Profit,Low,Platinum,2021-02
CUST_000032,Japan,Manufacturing,Basic,At Risk,VIP Elite,High Profit,Low,Gold,2021-02
CUST_000033,USA,Finance,Professional,At Risk,VIP Elite,High Profit,Low,Platinum,2021-02
CUST_000034,USA,Energy,Enterprise,At Risk,VIP Elite,High Profit,Low,Platinum,2021-02
CUST_000035,USA,Media,Premium,Hibernating,Growth Potential,Low Profit,High,Platinum,2021-03
CUST_000036,Australia,Retail,Basic,At Risk,Growth Potential,High Profit,High,Silver,2021-03
CUST_000037,USA,Education,Enterprise,Loyal Customers,VIP Elite,High Profit,Low,Platinum,2021-03
CUST_000038,Canada,Media,Professional,Loyal Customers,VIP Elite,High Profit,Low,Platinum,2021-03
CUST_000039,Australia,Energy,Basic,Champions,VIP Elite,High Profit,Low,Gold,2021-03
CUST_000040,UK,Media,Basic,Champions,VIP Elite,High Profit,Low,Platinum,2021-03
CUST_000041,Japan,Education,Professional,At Risk,VIP Elite,High Profit,Low,Platinum,2021-03
CUST_000042,UK,Education,Basic,Hibernating,Growth Potential,Loss-Making,High,Bronze,2021-03
CUST_000043,UK,Education,Basic,Champions,VIP Elite,High Profit,Low,Platinum,2021-03
CUST_000044,Canada,Finance,Professional,Champions,VIP Elite,High Profit,Low,Platinum,2021-03
CUST_000045,Brazil,Real Estate,Professional,Champions,VIP Elite,High Profit,Low,Platinum,2021-03
CUST_000046,USA,Finance,Professional,Champions,VIP Elite,High Profit,Low,Platinum,2021-03
CUST_000047,Australia,Real Estate,Professional,At Risk,Growth Potential,High Profit,High,Platinum,2021-03
CUST_000048,Australia,Technology,Professional,At Risk,Growth Potential,High Profit,High,Platinum,2021-03
CUST_000049,Germany,Technology,Professional,At Risk,Growth Potential,Medium Profit,High,Gold,2021-03
CUST_000050,USA,Finance,Basic,At Risk,VIP Elite,High Profit,Low,Gold,2021-03
CUST_000051,USA,Consulting,Professional,At Risk,VIP Elite,High Profit,Low,Platinum,2021-03
CUST_000052,UK,Healthcare,Professional,Hibernating,Growth Potential,Low Profit,High,Gold,2021-03
CUST_000053,Brazil,Retail,Basic,Loyal Customers,VIP Elite,High Profit,Low,Gold,2021-03
CUST_000054,UK,Technology,Enterprise,At Risk,VIP Elite,High Profit,Low,Platinum,2021-03
CUST_000055,USA,Consulting,Basic,Loyal Customers,VIP Elite,High Profit,Low,Gold,2021-04
CUST_000056,USA,Healthcare,Basic,Loyal Customers,VIP Elite,High Profit,Low,Platinum,2021-04
CUST_000057,Brazil,Real Estate,Enterprise,At Risk,Growth Potential,High Profit,High,Platinum,2021-04
CUST_000058,France,Technology,Enterprise,Hibernating,Growth Potential,Medium Profit,High,Platinum,2021-04
CUST_000059,Australia,Consulting,Basic,Promising,VIP Elite,High Profit,Low,Gold,2021-04
CUST_000060,Brazil,Finance,Professional,Champions,VIP Elite,High Profit,Low,Platinum,2021-04
CUST_000061,Australia,Technology,Enterprise,At Risk,Growth Potential,High Profit,High,Platinum,2021-04
CUST_000062,UK,Retail,Basic,Champions,VIP Elite,High Profit,Low,Gold,2021-04
CUST_000063,USA,Finance,Professional,Champions,VIP Elite,High Profit,Low,Platinum,2021-04
CUST_000064,Australia,Healthcare,Enterprise,Hibernating,Growth Potential,Loss-Making,High,Gold,2021-04
CUST_000065,USA,Education,Professional,At Risk,VIP Elite,High Profit,Low,Platinum,2021-04
CUST_000066,UK,Energy,Basic,Lost,Growth Potential,Medium Profit,High,Silver,2021-04
CUST_000067,USA,Energy,Basic,At Risk,VIP Elite,High Profit,Low,Gold,2021-04
CUST_000068,India,Media,Basic,At Risk,VIP Elite,High Profit,Low,Platinum,2021-04
CUST_000069,Germany,Technology,Professional,Loyal Customers,VIP Elite,High Profit,Low,Platinum,2021-05
CUST_000070,UK,Education,Premium,Hibernating,Growth Potential,Medium Profit,High,Platinum,2021-05
CUST_000071,India,Technology,Basic,Loyal Customers,VIP Elite,High Profit,Low,Gold,2021-05
CUST_000072,Germany,Healthcare,Basic,Loyal Customers,VIP Elite,High Profit,Low,Gold,2021-05
CUST_000073,USA,Healthcare,Basic,Loyal Customers,VIP Elite,High Profit,Low,Gold,2021-05
CUST_000074,France,Education,Professional,Loyal Customers,VIP Elite,High Profit,Low,Platinum,2021-05
CUST_000075,USA,Education,Basic,Hibernating,Growth Potential,Loss-Making,High,Bronze,2021-05
CUST_000076,Brazil,Finance,Basic,Champions,VIP Elite,High Profit,Low,Platinum,2021-05
CUST_000077,USA,Real Estate,Professional,At Risk,Growth Potential,Medium Profit,High,Gold,2021-05
CUST_000078,Singapore,Real Estate,Basic,Champions,VIP Elite,High Profit,Low,Gold,2021-05
CUST_000079,Canada,Finance,Enterprise,At Risk,Growth Potential,Medium Profit,High,Platinum,2021-05
CUST_000080,USA,Real Estate,Professional,Hibernating,Growth Potential,Loss-Making,High,Bronze,2021-05
CUST_000081,UK,Retail,Professional,Champions,VIP Elite,High Profit,Low,Platinum,2021-05
CUST_000082,France,Retail,Professional,At Risk,VIP Elite,High Profit,Low,Platinum,2021-05
CUST_000083,USA,Education,Enterprise,At Risk,VIP Elite,High Profit,Low,Platinum,2021-05
CUST_000084,UK,Energy,Basic,At Risk,VIP Elite,High Profit,Low,Gold,2021-05
CUST_000085,USA,Energy,Professional,At Risk,VIP Elite,High Profit,Low,Platinum,2021-05
CUST_000086,Canada,Technology,Basic,At Risk,VIP Elite,High Profit,Low,Gold,2021-06
CUST_000087,Germany,Retail,Basic,Loyal Customers,VIP Elite,High Profit,Low,Gold,2021-06
CUST_000088,France,Technology,Basic,Loyal Customers,VIP Elite,High Profit,Low,Gold,2021-06
CUST_000089,Canada,Education,Basic,At Risk,VIP Elite,High Profit,Low,Gold,2021-06
CUST_000090,India,Education,Basic,At Risk,Growth Potential,High Profit,High,Silver,2021-06
CUST_000091,UK,Media,Basic,Loyal Customers,VIP Elite,High Profit,Low,Gold,2021-06
CUST_000092,Brazil,Media,Enterprise,Champions,VIP Elite,High Profit,Low,Platinum,2021-06
CUST_000093,USA,Finance,Professional,Hibernating,Growth Potential,Loss-Making,High,Silver,2021-06
CUST_000094,Australia,Real Estate,Professional,At Risk,Growth Potential,High Profit,High,Gold,2021-06
CUST_000095,Germany,Energy,Basic,Champions,VIP Elite,High Profit,Low,Gold,2021-06
CUST_000096,USA,Healthcare,Enterprise,Champions,VIP Elite,High Profit,Low,Platinum,2021-06
CUST_000097,Brazil,Healthcare,Professional,Champions,VIP Elite,High Profit,Low,Platinum,2021-06
CUST_000098,UK,Finance,Basic,Champions,VIP Elite,High Profit,Low,Gold,2021-06
CUST_000099,Canada,Education,Enterprise,Champions,VIP Elite,High Profit,Low,Platinum,2021-06
CUST_000100,Brazil,Education,Enterprise,At Risk,VIP Elite,High Profit,Low,Platinum,2021-06
CUST_000101,France,Manufacturing,Basic,At Risk,VIP Elite,High Profit,Low,Gold,2021-06
CUST_000102,USA,Media,Enterprise,At Risk,VIP Elite,High Profit,Low,Platinum,2021-06
CUST_000103,France,Real Estate,Basic,At Risk,VIP Elite,High Profit,Low,Gold,2021-06
CUST_000104,USA,Technology,Professional,Loyal Customers,VIP Elite,High Profit,Low,Platinum,2021-06
CUST_000105,USA,Education,Basic,Loyal Customers,VIP Elite,High Profit,Low,Gold,2021-07
CUST_000106,Germany,Media,Professional,Loyal Customers,VIP Elite,High Profit,Low,Platinum,2021-07
CUST_000107,France,Technology,Basic,Potential Loyalists,VIP Elite,High Profit,Low,Gold,2021-07
CUST_000108,Canada,Media,Basic,Champions,VIP Elite,High Profit,Low,Gold,2021-07
CUST_000109,UK,Finance,Professional,Champions,VIP Elite,High Profit,Low,Platinum,2021-07
CUST_000110,France,Finance,Enterprise,At Risk,Growth Potential,High Profit,High,Platinum,2021-07
CUST_000111,France,Real Estate,Professional,Champions,VIP Elite,High Profit,Low,Platinum,2021-07
CUST_000112,USA,Healthcare,Basic,Potential Loyalists,VIP Elite,High Profit,Low,Gold,2021-07
CUST_000113,USA,Education,Basic,Champions,VIP Elite,High Profit,Low,Gold,2021-07
CUST_000114,Singapore,Consulting,Basic,Potential Loyalists,VIP Elite,High Profit,Low,Gold,2021-07
CUST_000115,Brazil,Finance,Professional,Champions,VIP Elite,High Profit,Low,Platinum,2021-07
CUST_000116,Australia,Education,Professional,At Risk,Growth Potential,Medium Profit,High,Gold,2021-07
CUST_000117,France,Healthcare,Professional,Champions,VIP Elite,High Profit,Low,Platinum,2021-07
CUST_000118,USA,Energy,Professional,Champions,VIP Elite,High Profit,Low,Platinum,2021-07
CUST_000119,USA,Education,Basic,Champions,VIP Elite,High Profit,Low,Gold,2021-07
CUST_000120,France,Retail,Basic,At Risk,VIP Elite,High Profit,Low,Platinum,2021-07
CUST_000121,India,Technology,Premium,At Risk,VIP Elite,High Profit,Low,Platinum,2021-07
CUST_000122,Brazil,Real Estate,Basic,At Risk,VIP Elite,High Profit,Low,Gold,2021-07
CUST_000123,USA,Energy,Enterprise,At Risk,VIP Elite,High Profit,Low,Platinum,2021-07
CUST_000124,UK,Manufacturing,Premium,Loyal Customers,VIP Elite,High Profit,Low,Platinum,2021-07
CUST_000125,India,Retail,Enterprise,At Risk,Growth Potential,High Profit,High,Platinum,2021-08
CUST_000126,USA,Manufacturing,Basic,At Risk,VIP Elite,High Profit,Low,Gold,2021-08
CUST_000127,Japan,Real Estate,Basic,Promising,VIP Elite,High Profit,Low,Gold,2021-08
CUST_000128,USA,Finance,Professional,At Risk,Growth Potential,Medium Profit,High,Gold,2021-08
CUST_000129,India,Real Estate,Professional,At Risk,VIP Elite,High Profit,Low,Platinum,2021-08
CUST_000130,France,Real Estate,Basic,At Risk,Growth Potential,High Profit,High,Gold,2021-08
CUST_000131,France,Education,Premium,Champions,VIP Elite,High Profit,Low,Platinum,2021-08
CUST_000132,USA,Healthcare,Professional,At Risk,Growth Potential,Medium Profit,High,Gold,2021-08
CUST_000133,Japan,Manufacturing,Professional,At Risk,Growth Potential,High Profit,High,Gold,2021-08
CUST_000134,Canada,Finance,Professional,Champions,VIP Elite,High Profit,Low,Platinum,2021-08
CUST_000135,UK,Finance,Basic,At Risk,VIP Elite,High Profit,Low,Gold,2021-08
CUST_000136,Australia,Energy,Enterprise,At Risk,VIP Elite,High Profit,Low,Platinum,2021-08
CUST_000137,Japan,Retail,Enterprise,At Risk,VIP Elite,High Profit,Low,Platinum,2021-08
CUST_000138,Germany,Retail,Professional,At Risk,VIP Elite,High Profit,Low,Platinum,2021-08
CUST_000139,Australia,Technology,Professional,At Risk,VIP Elite,High Profit,Low,Platinum,2021-08
CUST_000140,Canada,Consulting,Enterprise,At Risk,VIP Elite,High Profit,Low,Platinum,2021-08
CUST_000141,Brazil,Energy,Basic,Promising,VIP Elite,High Profit,Low,Gold,2021-08
CUST_000142,UK,Healthcare,Basic,Promising,VIP Elite,High Profit,Low,Gold,2021-08
CUST_000143,France,Media,Basic,Loyal Customers,VIP Elite,High Profit,Low,Platinum,2021-08
CUST_000144,Germany,Real Estate,Professional,Loyal Customers,VIP Elite,High Profit,Low,Platinum,2021-09
CUST_000145,USA,Media,Professional,Loyal Customers,VIP Elite,High Profit,Low,Platinum,2021-09
CUST_000146,USA,Healthcare,Basic,Potential Loyalists,VIP Elite,High Profit,Low,Gold,2021-09
CUST_000147,Japan,Education,Basic,Champions,VIP Elite,High Profit,Low,Gold,2021-09
CUST_000148,USA,Real Estate,Professional,At Risk,VIP Elite,High Profit,Low,Platinum,2021-09
CUST_000149,Australia,Energy,Basic,Lost,Growth Potential,Low Profit,High,Silver,2021-09
CUST_000150,France,Energy,Basic,At Risk,Growth Potential,High Profit,High,Gold,2021-09
CUST_000151,USA,Finance,Professional,At Risk,Growth Potential,Medium Profit,High,Gold,2021-09
CUST_000152,Germany,Finance,Professional,Champions,VIP Elite,High Profit,Low,Platinum,2021-09
CUST_000153,Canada,Technology,Premium,At Risk,VIP Elite,High Profit,High,Platinum,2021-09
CUST_000154,Germany,Energy,Basic,Potential Loyalists,VIP Elite,High Profit,Low,Gold,2021-09
CUST_000155,Australia,Finance,Basic,At Risk,VIP Elite,High Profit,Low,Gold,2021-09
CUST_000156,UK,Retail,Basic,At Risk,VIP Elite,High Profit,Low,Gold,2021-09
CUST_000157,USA,Energy,Premium,At Risk,Growth Potential,High Profit,High,Platinum,2021-09
CUST_000158,Japan,Healthcare,Professional,Hibernating,Growth Potential,Loss-Making,High,Silver,2021-09
CUST_000159,UK,Energy,Basic,At Risk,VIP Elite,High Profit,Low,Gold,2021-09
CUST_000160,USA,Manufacturing,Basic,At Risk,VIP Elite,High Profit,Low,Gold,2021-09
CUST_000161,Germany,Healthcare,Professional,Hibernating,Growth Potential,Loss-Making,High,Silver,2021-09
CUST_000162,France,Finance,Basic,At Risk,VIP Elite,High Profit,Low,Gold,2021-09
CUST_000163,India,Consulting,Professional,At Risk,Growth Potential,Medium Profit,High,Gold,2021-09
CUST_000164,Germany,Consulting,Professional,At Risk,VIP Elite,High Profit,Low,Platinum,2021-09
CUST_000165,UK,Consulting,Basic,At Risk,VIP Elite,High Profit,Low,Gold,2021-09
CUST_000166,UK,Consulting,Enterprise,Loyal Customers,VIP Elite,High Profit,Low,Platinum,2021-10
CUST_000167,USA,Technology,Basic,Lost,Growth Potential,Medium Profit,High,Silver,2021-10
CUST_000168,USA,Consulting,Basic,Lost,Growth Potential,Low Profit,High,Bronze,2021-10
CUST_000169,Japan,Retail,Professional,Loyal Customers,VIP Elite,High Profit,Low,Platinum,2021-10
CUST_000170,Germany,Media,Basic,At Risk,Growth Potential,High Profit,High,Silver,2021-10
CUST_000171,Germany,Technology,Professional,Champions,VIP Elite,High Profit,Low,Platinum,2021-10
CUST_000172,USA,Energy,Professional,Champions,VIP Elite,High Profit,Low,Platinum,2021-10
CUST_000173,UK,Manufacturing,Professional,Champions,VIP Elite,High Profit,Low,Platinum,2021-10
